country,year,strike.volume,unemployment,inflation,left.parliament,centralization,density
Finland,1951,288,0.1,16.3,26.5,0.750,NA
Finland,1952,47,0.1,1,26.5,0.750,NA
Finland,1953,54,0.3,2,26.5,0.750,NA
Finland,1954,96,0.1,0,27,0.750,NA
Finland,1955,281,0.1,-2.9,27,0.750,NA
Finland,1956,5568,0.1,11,27,0.750,NA
Finland,1957,174,0.3,11.3,27,0.750,NA
Finland,1958,35,0.4,6.6,27,0.750,NA
Finland,1959,323,2.3,1.5,25.5,0.750,NA
Finland,1960,71,1.5,3.2,25.5,0.750,31.9
Finland,1961,30,1.2,1.8,25.5,0.750,31.5
Finland,1962,23,1.3,4.5,20,0.750,35.3
Finland,1963,961,1.5,4.9,20,0.750,37.4
Finland,1964,39,1.5,10.4,20,0.750,37.0
Finland,1965,11,1.4,4.8,20,0.750,38.3
Finland,1966,80,1.5,3.9,31,0.750,39.6
Finland,1967,211,2.9,5.6,31,0.750,40.7
Finland,1968,186,3.8,9.2,31,0.750,41.0
Finland,1969,104,2.8,2.2,31,0.750,47.5
Finland,1970,1,1.9,2.7,26,0.750,51.3
Finland,1971,143,2.2,6.5,26,0.750,56.2
Finland,1972,1632,2.5,7.1,27.5,0.750,60.8
Finland,1973,272,2.3,11,27.5,0.750,61.4
Finland,1974,239,1.7,16.7,27.5,0.750,63.2
Finland,1975,155,2.2,17.8,27.5,0.750,65.3
Finland,1976,684,3.8,14.4,27,0.750,67.6
Finland,1977,1310,5.8,12.7,27,0.750,66.4
Finland,1978,73,7.2,7.8,27,0.750,66.9
Finland,1979,131,5.9,7.5,26,0.750,68.1
Finland,1980,836,4.6,11.6,26,0.750,69.4
Finland,1981,337,5.1,12,26,0.750,68.3
Finland,1982,105,5.8,9.6,26,0.750,68.4
Finland,1983,361,6.1,8.4,28.5,0.750,68.8
Finland,1984,754,4.9,7.1,28.5,0.750,69.0
Finland,1985,84,4.8,5.9,28.5,0.750,69.1
France,1951,299,0.6,17.7,49.3,0.000,NA
France,1952,146,0.7,12,49.3,0.000,NA
France,1953,807,0.9,-1.9,49.3,0.000,NA
France,1954,119,1.6,0.4,49.3,0.000,NA
France,1955,251,1.5,1,49.3,0.000,NA
France,1956,114,1.1,4.3,56.6,0.000,NA
France,1957,324,0.8,-0.8,56.6,0.000,NA
France,1958,88,0.9,15.3,56.6,0.000,NA
France,1959,151,1.3,5.7,16.6,0.000,NA
France,1960,82,1.2,4.2,16.6,0.000,19.6
France,1961,198,1.1,2.4,16.6,0.000,20.2
France,1962,142,1.1,5.2,16.6,0.000,19.1
France,1963,434,1.2,5.1,32.4,0.000,20.1
France,1964,176,0.9,3.2,32.4,0.000,19.7
France,1965,69,1.2,2.7,32.4,0.000,19.5
France,1966,174,1.2,2.6,32.4,0.000,18.9
France,1967,282,1.6,2.8,41,0.000,19.1
France,1968,70,2.6,4.6,19.1,0.000,20.4
France,1969,143,2.3,6.1,19.1,0.000,22.2
France,1970,109,2.4,5.9,19.1,0.000,21.7
France,1971,271,2.6,5.5,19.1,0.000,21.6
France,1972,228,2.7,6.2,19.1,0.000,21.6
France,1973,232,2.6,7.3,36.9,0.000,22.1
France,1974,197,2.8,13.7,36.9,0.000,21.7
France,1975,227,4.1,11.8,36.9,0.000,22.2
France,1976,235,4.4,9.6,36.9,0.000,21.4
France,1977,139,4.9,9.4,36.9,0.000,21.4
France,1978,118,5.2,9.1,41.7,0.000,20.7
France,1979,179,5.9,10.8,41.7,0.000,19.2
France,1980,86,6.3,13.3,41.7,0.000,18.3
France,1981,82,7.4,13.4,68.4,0.000,17.8
France,1982,127,8.1,11.8,68.4,0.000,17.0
France,1983,74,8.3,9.6,68.4,0.000,16.0
France,1984,75,9.7,7.4,68.4,0.000,14.9
France,1985,41,10.2,5.8,68.4,0.000,13.6
Germany,1951,112,6.4,7.7,36.3,0.250,NA
Germany,1952,29,6.1,2.1,36.3,0.250,NA
Germany,1953,95,5.5,-1.9,36.3,0.250,NA
Germany,1954,98,5.2,0.2,31,0.250,NA
Germany,1955,50,3.9,1.7,31,0.250,NA
Germany,1956,89,3.1,2.6,31,0.250,NA
Germany,1957,59,2.7,2.1,31,0.250,NA
Germany,1958,43,2.7,2.1,34,0.250,NA
Germany,1959,3,1.9,1,34,0.250,NA
Germany,1960,2,0.9,1.5,34,0.250,34.7
Germany,1961,3,0.6,2.3,34,0.250,34.2
Germany,1962,22,0.6,2.9,38.1,0.250,33.8
Germany,1963,88,0.7,3,38.1,0.250,33.4
Germany,1964,1,0.6,2.4,38.1,0.250,33.1
Germany,1965,2,0.5,3.2,38.1,0.250,32.9
Germany,1966,1,0.6,3.6,40.7,0.250,32.5
Germany,1967,19,1.7,1.6,40.7,0.250,32.8
Germany,1968,1,1.2,1.6,40.7,0.250,32.2
Germany,1969,12,0.7,1.9,40.7,0.250,31.7
Germany,1970,4,0.6,3.4,45.2,0.250,32.0
Germany,1971,203,0.7,5.2,45.2,0.250,32.1
Germany,1972,3,0.9,5.5,45.2,0.250,32.4
Germany,1973,25,1,7,46.4,0.250,32.4
Germany,1974,48,2.1,7,46.4,0.250,33.7
Germany,1975,3,4,5.9,46.4,0.250,34.6
Germany,1976,25,4,4.3,46.4,0.250,35.1
Germany,1977,1,3.9,3.7,43.2,0.250,35.2
Germany,1978,197,3.7,2.7,43.2,0.250,35.5
Germany,1979,22,3.3,4.1,43.2,0.250,35.3
Germany,1980,6,3.3,5.4,43.2,0.250,34.9
Germany,1981,3,4.6,6.3,43.9,0.250,35.1
Germany,1982,1,6.7,5.3,43.9,0.250,35.0
Germany,1983,2,8.2,3.3,38.8,0.250,35.0
Germany,1984,260,8.2,2.4,38.8,0.250,34.9
Germany,1985,2,8.3,2.2,38.8,0.250,34.7
Ireland,1951,773,7.3,7.9,10.880,0.500,NA
Ireland,1952,752,9.1,9.2,10.880,0.500,NA
Ireland,1953,117,9.6,5,10.880,0.500,NA
Ireland,1954,95,8.1,0,12.920,0.500,NA
Ireland,1955,336,6.8,2.6,12.920,0.500,NA
Ireland,1956,70,7.7,4.3,12.920,0.500,NA
Ireland,1957,135,9.2,4.1,8.160,0.500,NA
Ireland,1958,187,8.6,4.5,8.160,0.500,NA
Ireland,1959,181,8,0,8.160,0.500,NA
Ireland,1960,115,6.7,0.4,8.160,0.500,50.4
Ireland,1961,589,5.7,2.7,11.110,0.500,52.4
Ireland,1962,160,5.7,4.2,11.110,0.500,53.4
Ireland,1963,354,6.1,2.5,11.110,0.500,53.1
Ireland,1964,794,4.7,6.7,11.110,0.500,53.8
Ireland,1965,796,4.6,5,15.270,0.500,53.6
Ireland,1966,1129,4.7,3.1,15.270,0.500,53.7
Ireland,1967,262,5,3.2,15.270,0.500,54.2
Ireland,1968,574,5.3,4.7,15.270,0.500,55.1
Ireland,1969,1304,5,7.4,12.5,0.500,57.0
Ireland,1970,1405,5.8,8.2,12.5,0.500,59.1
Ireland,1971,379,5.5,9,12.5,0.500,59.2
Ireland,1972,284,6.2,8.7,12.5,0.500,59.5
Ireland,1973,277,5.7,11.4,13.190,0.500,59.2
Ireland,1974,720,5.3,17,13.190,0.500,59.9
Ireland,1975,390,7.3,20.9,13.190,0.500,61.5
Ireland,1976,1032,9,18,13.190,0.500,62.6
Ireland,1977,571,8.8,13.6,11.480,0.500,63.3
Ireland,1978,765,8.2,7.6,11.480,0.500,64.0
Ireland,1979,1752,7.1,13.2,11.480,0.500,63.9
Ireland,1980,480,7.3,18.2,11.480,0.500,63.5
Ireland,1981,503,9.9,20.4,9.040,0.500,62.9
Ireland,1982,504,11.4,17.1,9.040,0.500,62.4
Ireland,1983,382,14,10.5,9.640,0.500,63.5
Ireland,1984,472,15.6,8.6,9.640,0.500,63.3
Ireland,1985,521,17,5.4,9.640,0.500,60.2
Italy,1951,437,8.8,14.3,37.5,0.250,NA
Italy,1952,337,9.5,1.9,37.5,0.250,NA
Italy,1953,545,10,1.4,40.2,0.250,NA
Italy,1954,493,8.7,2.4,40.2,0.250,NA
Italy,1955,511,7.5,2.3,40.2,0.250,NA
Italy,1956,372,9.3,3.4,40.2,0.250,NA
Italy,1957,407,7.4,1.1,40.2,0.250,NA
Italy,1958,363,6.4,3.2,41.4,0.250,NA
Italy,1959,792,5.4,0,41.4,0.250,NA
Italy,1960,483,4,2.1,41.4,0.250,24.7
Italy,1961,803,3.4,2,41.4,0.250,24.8
Italy,1962,1799,4.4,5,41.4,0.250,25.2
Italy,1963,888,3.8,6.7,40.2,0.250,26.1
Italy,1964,1256,4.2,6.3,40.2,0.250,26.6
Italy,1965,557,5.3,4.2,40.2,0.250,25.5
Italy,1966,1163,5.7,2.4,40.2,0.250,25.3
Italy,1967,675,5.3,1.3,40.2,0.250,25.3
Italy,1968,719,5.6,1.2,42.5,0.250,31.4
Italy,1969,2875,5.6,2.6,42.5,0.250,33.0
Italy,1970,1566,5.3,5,42.5,0.250,37.0
Italy,1971,1098,5.3,4.9,42.5,0.250,39.7
Italy,1972,1437,6.3,5.7,42.7,0.250,41.8
Italy,1973,1698,6.2,10.8,42.7,0.250,43.3
Italy,1974,1381,5.3,19.1,42.7,0.250,46.2
Italy,1975,1918,5.8,17,42.7,0.250,48.0
Italy,1976,1774,6.6,16.7,48.6,0.250,50.5
Italy,1977,1149,7,18.5,48.6,0.250,49.8
Italy,1978,702,7.1,12,48.6,0.250,50.4
Italy,1979,1870,7.6,14.8,48.6,0.250,49.7
Italy,1980,1108,7.5,21.3,48.6,0.250,49.6
Italy,1981,705,7.8,19.5,48.6,0.250,48.0
Italy,1982,1245,8.4,16.5,48.6,0.250,46.7
Italy,1983,945,9.3,14.6,47.8,0.250,45.5
Italy,1984,591,9.7,10.8,47.8,0.250,45.3
Italy,1985,257,9.9,9.2,47.8,0.250,42.5
Japan,1951,439,1.1,16.5,17.8,0.125,NA
Japan,1952,1061,1.2,5,23.6,0.125,NA
Japan,1953,286,1.3,6.6,29.8,0.125,NA
Japan,1954,249,1.7,6.5,29.8,0.125,NA
Japan,1955,215,1.8,-1,34.1,0.125,NA
Japan,1956,262,1.7,0,34.1,0.125,NA
Japan,1957,3,1.4,3.3,34.1,0.125,NA
Japan,1958,306,1.4,-0.4,35.8,0.125,NA
Japan,1959,279,1.5,1,35.8,0.125,NA
Japan,1960,216,1.1,3.6,35.3,0.125,32.9
Japan,1961,259,1,5.4,35.3,0.125,33.8
Japan,1962,216,1.3,6.8,35.3,0.125,34.6
Japan,1963,105,1.2,7.7,36.8,0.125,35.0
Japan,1964,115,1.2,3.8,36.8,0.125,35.5
Japan,1965,197,1.2,6.6,36.8,0.125,35.3
Japan,1966,9,1.3,5.1,36.8,0.125,34.7
Japan,1967,60,1.3,4,36,0.125,34.4
Japan,1968,90,1.2,5.4,36,0.125,34.5
Japan,1969,114,1.1,5.2,27.8,0.125,35.2
Japan,1970,118,1.1,7.7,27.8,0.125,35.1
Japan,1971,177,1.2,6.3,27.8,0.125,34.6
Japan,1972,149,1.4,4.9,35.6,0.125,34.3
Japan,1973,127,1.3,11.6,35.6,0.125,33.5
Japan,1974,266,1.4,23.2,35.6,0.125,34.3
Japan,1975,220,1.9,11.8,35.6,0.125,34.5
Japan,1976,88,2,9.4,33.1,0.125,33.7
Japan,1977,40,2,8.2,33.1,0.125,33.0
Japan,1978,36,2.2,4.2,33.1,0.125,32.6
Japan,1979,24,2.1,3.7,35.3,0.125,31.8
Japan,1980,25,2,7.7,32.9,0.125,31.1
Japan,1981,14,2.2,5,32.9,0.125,30.9
Japan,1982,13,2.4,2.7,32.9,0.125,30.6
Japan,1983,12,2.6,1.9,34.1,0.125,29.8
Japan,1984,8,2.7,2.3,34.1,0.125,29.2
Japan,1985,6,2.6,2,34.1,0.125,28.8
Netherlands,1951,24,2.4,11.9,35,0.750,NA
Netherlands,1952,11,3.5,0,36,0.750,NA
Netherlands,1953,10,2.5,0,36,0.750,NA
Netherlands,1954,20,1.8,4,36,0.750,NA
Netherlands,1955,44,1.3,1.9,36,0.750,NA
Netherlands,1956,68,0.9,1.9,38,0.750,NA
Netherlands,1957,2,1.2,6.1,38,0.750,NA
Netherlands,1958,12,2.3,2.2,35.3,0.750,NA
Netherlands,1959,4,1.8,1.1,35.3,0.750,NA
Netherlands,1960,142,1.1,2.3,35.3,0.750,40.0
Netherlands,1961,7,0.8,1.3,35.3,0.750,39.5
Netherlands,1962,3,0.5,2.3,35.3,0.750,38.8
Netherlands,1963,11,0.6,3.3,34,0.750,38.8
Netherlands,1964,12,0.5,5.8,34,0.750,37.6
Netherlands,1965,15,0.5,5.8,34,0.750,37.4
Netherlands,1966,3,0.8,5.8,34,0.750,38.1
Netherlands,1967,2,1.6,3.5,30.7,0.750,38.3
Netherlands,1968,4,1.4,3.7,30.7,0.750,37.5
Netherlands,1969,6,1,7.4,30.7,0.750,36.5
Netherlands,1970,66,1,3.7,30.7,0.750,36.5
Netherlands,1971,25,1.3,7.5,31.3,0.750,36.2
Netherlands,1972,33,2.2,7.8,31.3,0.750,36.6
Netherlands,1973,141,2.2,8,34.7,0.750,37.1
Netherlands,1974,2,2.7,9.6,34.7,0.750,36.9
Netherlands,1975,0,5.2,10.2,34.7,0.750,37.8
Netherlands,1976,3,5.5,9.1,34.7,0.750,37.1
Netherlands,1977,57,5.3,6.5,37.3,0.750,37.2
Netherlands,1978,1,5.3,4.1,37.3,0.750,37.0
Netherlands,1979,68,5.4,4.2,37.3,0.750,36.6
Netherlands,1980,13,6,6.5,37.3,0.750,34.8
Netherlands,1981,5,8.6,6.8,33.3,0.750,33.0
Netherlands,1982,49,11.4,5.9,33.3,0.750,32.3
Netherlands,1983,26,13.7,2.8,35.3,0.750,30.7
Netherlands,1984,6,14.1,3.3,35.3,0.750,29.3
Netherlands,1985,19,12.8,2.2,35.3,0.750,28.0
New.Zealnd,1951,2462,0,11.1,37.5,0.375,NA
New.Zealnd,1952,58,0,7.8,37.5,0.375,NA
New.Zealnd,1953,38,0,4.8,37.5,0.375,NA
New.Zealnd,1954,39,0.1,4.5,43.8,0.375,NA
New.Zealnd,1955,97,0,2.6,43.8,0.375,NA
New.Zealnd,1956,43,0.1,3.5,43.8,0.375,NA
New.Zealnd,1957,49,0.4,2,51.2,0.375,NA
New.Zealnd,1958,32,0.4,4.4,51.2,0.375,NA
New.Zealnd,1959,49,1.2,3.7,51.2,0.375,NA
New.Zealnd,1960,58,0.6,0.8,42.5,0.375,NA
New.Zealnd,1961,59,0.3,1.8,42.5,0.375,NA
New.Zealnd,1962,141,0.1,2.7,42.5,0.375,NA
New.Zealnd,1963,80,0.1,1.9,43.8,0.375,NA
New.Zealnd,1964,93,0.1,3.4,43.8,0.375,NA
New.Zealnd,1965,29,0.1,3.4,43.8,0.375,NA
New.Zealnd,1966,128,0.1,2.8,43.8,0.375,NA
New.Zealnd,1967,174,0.1,6.1,43.8,0.375,NA
New.Zealnd,1968,166,0.8,4.3,43.8,0.375,NA
New.Zealnd,1969,171,0.3,4.9,46.4,0.375,NA
New.Zealnd,1970,327,0.2,6.6,46.4,0.375,NA
New.Zealnd,1971,191,0.2,10.5,46.4,0.375,56.3
New.Zealnd,1972,152,0.4,6.9,63.2,0.375,NA
New.Zealnd,1973,3,0.2,8.1,63.2,0.375,NA
New.Zealnd,1974,198,0.1,11.1,63.2,0.375,NA
New.Zealnd,1975,225,0.2,14.6,36.8,0.375,NA
New.Zealnd,1976,501,0.4,17,36.8,0.375,61.0
New.Zealnd,1977,437,0.3,14.4,36.8,0.375,NA
New.Zealnd,1978,372,1.7,12,43.5,0.375,NA
New.Zealnd,1979,373,1.9,13.7,43.5,0.375,69.0
New.Zealnd,1980,362,2.2,17.2,43.5,0.375,69.1
New.Zealnd,1981,354,3.6,15.4,46.7,0.375,65.7
New.Zealnd,1982,294,3.5,16.2,46.7,0.375,65.1
New.Zealnd,1983,324,5.6,7.4,46.7,0.375,64.5
New.Zealnd,1984,363,5.7,6.2,59,0.375,59.5
New.Zealnd,1985,632,4.1,15.4,59,0.375,56.0
Norway,1951,37,0.8,16.1,56.7,0.875,NA
Norway,1952,127,1,8.8,56.7,0.875,NA
Norway,1953,41,0.9,1.9,56.7,0.875,NA
Norway,1954,104,0.8,4.6,53.3,0.875,NA
Norway,1955,106,0.9,1.1,53.3,0.875,NA
Norway,1956,946,1,3.6,53.3,0.875,NA
Norway,1957,26,1.6,2.8,53.3,0.875,NA
Norway,1958,59,1.5,4.9,52.7,0.875,NA
Norway,1959,46,1.1,2.2,52.7,0.875,NA
Norway,1960,2,0.9,0.4,52.7,0.875,60.0
Norway,1961,4,1,2.5,52.7,0.875,60.8
Norway,1962,76,1,5.3,50.7,0.875,59.8
Norway,1963,210,1.2,2.6,50.7,0.875,60.1
Norway,1964,1,1.1,5.7,50.7,0.875,59.3
Norway,1965,8,0.9,4.3,50.7,0.875,59.0
Norway,1966,5,0.8,3.3,46.7,0.875,58.1
Norway,1967,4,0.7,4.4,46.7,0.875,57.6
Norway,1968,12,1.1,3.5,46.7,0.875,57.2
Norway,1969,19,1,3.1,46.7,0.875,57.2
Norway,1970,39,0.8,10.6,49.3,0.875,56.8
Norway,1971,7,0.8,6.3,49.3,0.875,57.0
Norway,1972,9,1.7,7.2,49.3,0.875,51.9
Norway,1973,8,1.5,7.4,49.3,0.875,53.2
Norway,1974,227,1.5,9.4,52,0.875,54.1
Norway,1975,9,2.3,11.7,52,0.875,53.8
Norway,1976,90,1.8,9.2,52,0.875,52.8
Norway,1977,16,1.5,9,52,0.875,53.6
Norway,1978,39,1.8,8.2,52,0.875,54.0
Norway,1979,4,1.9,4.8,52,0.875,55.5
Norway,1980,63,1.7,10.9,52,0.875,58.3
Norway,1981,17,2,13.6,52,0.875,57.9
Norway,1982,167,2.6,11.4,46.7,0.875,58.1
Norway,1983,3,3.3,8.4,46.7,0.875,58.1
Norway,1984,61,3,6.3,46.7,0.875,58.3
Norway,1985,37,2.5,5.7,46.7,0.875,57.5
Sweden,1951,217,1.8,15.8,52.2,0.875,NA
